objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,https://drive.google.com/file/d/1wdMUUUxEMTT1ksRxhS_M8yQwYQMY04_f/view?usp=sharing,,,Angono Library Activity,URS Library Services,2019-10-14,Reading section of URS Angono Campus Library,library activities;URS Campus Libraries;Angono Campus Library,"Moscow, Idaho",14.52662468,121.1526547,University Library Services Photo Folder,https://drive.google.com/file/d/1wdMUUUxEMTT1ksRxhS_M8yQwYQMY04_f/view?usp=sharing,Image;StillImage,image/jpeg,,Public domain,
coll002,https://drive.google.com/file/d/1LmFsXa9PZPZHpF_OjjyEVWwFHlrEARDS/view?usp=sharing,,,Tanay Library Services Orientation,URS Library Services,2016-08-23,Library Instruction Activity in URS Tanay Campus Library,library activities;URS Campus Libraries;Tanay Campus Library,,14.55886683,121.3711083,University Library Services Photo Folder,https://drive.google.com/file/d/1LmFsXa9PZPZHpF_OjjyEVWwFHlrEARDS/view?usp=sharing,,image/jpeg,,Public domain,
coll003,,dC95bCg47co,,Library Orientation 2021,URS Library Services,2021-08-01,Virtual Library Orientation video,library activities;URS Campus Libraries;Angono Campus Library,,14.55886683,121.3711083,University Library Services Photo Folder,,,,eng,CC BY,https://creativecommons.org/licenses/by/4.0/
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,